MATRIKS RISK ISSUE,,,,,,,,Aktivitas Unit Kerja,,,Contoh Temuan
NO,MEGA,No,MAJOR,No,SUB MAJOR,CODE,RISK ISSUE,KC,KR,KP,
,,,,3.1.7,Pengelolaan Pinjaman/ Pembiayaan yang Bermasalah,PPB1,Penanganan pinjaman/ pembiayaan bermasalah tidak dilakukan sesuai ketentuan,√,,,"Apabila anggota bermasalah, tidak dilakukan monitoring berkala (tidak tahu center, tidak pernah dikunjungi, dll)
Pengambilan simpanan anggota untuk pembayaran angsuran anggota maupun pihak lain tanpa sepengetahuan anggota ybs 
Melakukan restrukturisasi pinjaman tanpa adanya ketentuan dan tanpa sepengetahuan anggota"
,,,,3.1.8,Pelunasan Pinjaman/ Pembiayaan ,PLP1,Pelunasan pinjaman/ pembiayaan tidak sesuai ketentuan,√,,,"Penundaan pelunasan client, proses penutupan rekening yang tertunda akibat tindak lanjut yang terlambat
Dokumen anggota keluar tidak lengkap
Penundaan claim dana resiko menyebabkan proses pemotongan sisa angsuran anggota selisih
Penyetoran dari anggota WO tidak disetorkan"
,,,,3.1.9,Penetapan Tunggakan Pinjaman/ Pembiayaan,TGP1,Proses pengelolaan tunggakan pinjaman/ pembiayaan tidak sesuai ketentuan,√,,,"Pelunasan tanpa margin yang dilakukan tanpa adanya persetujuan dari Kantor Pusat
Tanggung Renteng tidak efektif (tidak ada catatan Cth: histori nominal dan tanggal, digunakan kepada center lain, pengembalian tidak disampaikan ke anggota penanggung renteng, tanpa konfirmasi ke anggota pemberi uang & sisa uang tanggung renteng tidak dikembalikan ke anggota)"
,,3.2,Manajemen Proses Simpanan,3.2.1,Dokumentasi & Administrasi Simpanan,DAS1,Berkas simpanan anggota tidak lengkap atau tidak ditatakerjakan sesuai ketentuan,√,,,"Buku Simpanan anggota tidak ada
Selisih saldo pada buku simpanan anggota (Saldo tidak sesuai dengan sistem MDIS)
Form simpanan sihara (pembukaan, perubahan paket dan penutupan, keanggotaan) tidak ada/tidak lengkap/tidak update saldo pada kartu sihara
Saldo pada Buku Simpanan anggota tidak update
Form simpanan qurban (pembukaan perubahan dan penutupan) tidak ada/tidak lengkap/tidak update saldo pada kartu simpanan qurban"
,,,,3.2.2,Pelaksanaan Proses Setoran/Penarikan (Aktifitas Simpanan Anggota),PAS1,Proses penyetoran iuran yang berkaitan dengan simpanan tidak dilakukan sesuai ketentuan,√,,,Setoran simpanan (Sukarela dan Hari Raya) tidak ditransaksikan
,,,,,,PAS2,Proses penarikan simpanan anggota tidak dilakukan sesuai ketentuan,,,,Penarikan simpanan anggota tidak diserahkan kepada anggota
,,3.3,Manajemen Kas,3.3.1,Pengelolaan Uang Kas ,PUK1,Proses setoran kas tidak sesuai ketentuan,√,√,√,Uang Kas/Tunai/Bank tidak balance
,,,,,,PUK2,Pengelolaan maksimum kas tidak optimal,√,√,√,Saldo kas harian cabang melebihi limit kas
,,,,,,PUK3,Proses rekonsiliasi uang kas tidak sesuai ketentuan,√,√,√,"Selisih lebih/kurang uang kas,
Ditemukannya uang tak bertuan yang tidak terselesaikan"
,,,,,,PUK4,Proses cash opname tidak sesuai ketentuan,√,√,√,"Tidak dilakukannya/tidak konsistennya proses opname kas
Form mutasi kas tidak ada tandatangan para pihak
Form mutasi kas tidak ada"
4,Eksternalitas ,4.1,Hukum & Litigasi,4.1.1,Memberikan Legal Advise dan Bantuan Hukum,LAH1,Pemberian bantuan hukum tidak melindungi kepentingan Lembaga,,,√,
,,,,4.1.2,"Legalitas, Litigasi dan Penanganan Perkara",LIT1,Penatakerjaan dokumen hukum tidak terjamin keamanannya,√,,√,Tidak adanya dokumen legalitas cabang
,,,,4.1.3,Aspek Hukum Perjanjian Dengan Pihak Ketiga,HKT1,Kontrak/perjanjian dengan pihak ketiga tidak sesuai dengan kaidah hukum dan/atau memperlemah posisi lembaga/ Lembaga/ KOMIDA,√,√,√,Adanya klausul yang melemahkan lembaga di dalam PKS
,,,,,,HKT2,Kerjasama dengan pihak ketiga tidak dilandasi dengan kontrak/perjanjian,√,√,√,Tidak adanya Perjanjian Kerja Sama (PKS) dengan pihak ketiga
,,4.2,Interaksi Pelayanan ,4.2.1,Pelayanan Kepada Anggota,PLA1,Standar pelayanan kepada anggota tidak dijalankan sesuai ketentuan,√,,,"Disiplin center tidak dijalankan sebagaimana mestinya
Dalam hal anggota cuti namun anggota/suami meninggal tidak mendapatkan santunan"
,,4.3,Pengelolaan Pengaduan,4.3.1,"Penanganan Pengaduan, Pemantauan & Pelaporan",PPL1,Laporan pengaduan nasabah/customer tidak ditindaklanjuti sesuai ketentuan,√,√,√,
